41;;NULL;NULL;;Reporting counters;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
36;IID9006 - CMAX_MT527;19;15;;MT527;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
46;M7 TIG Interface (Norexeco);NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
46;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
97;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
27;RMI Java interface;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
50;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
28;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
132;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
91;SAP httplink interface;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
17;;19;17;;WSS Reference data over file transfer;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
92;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
137;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
39;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
58;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
47;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
23;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
19;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
59;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
38;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
95;ERP Interface;19;15;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
11;;19;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
74;;19;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;"Share owner (""Wp-Besitzer"")";;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;DW Instructions Data;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;Lead Manager;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;P3 Manual instructions;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;phys./non-phys certificates info;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
91;Sub-Case Budget + Actuals Data;NULL;NULL;;"Monthly import done by ""Project Controlling""";;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
353;InxStsMiaProcessor;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1251;GMEX Upload;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1085;REIT reclassification MT568;19;18;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
773;IID2107 - MGST_PIM_FILE;19;15;;Notifies CmaX for processing of the PIM contained in the payload coming from Morgan Stanley;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
2;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
729;IID3262 - SEND_CACU_VERIF_TO_EOC;NULL;18;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
6;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
14;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
135;S36: Assignment Export;NULL;15;;CSV-Datei zum Einlesen in SAP CATS;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
41;;NULL;NULL;;Processing Information;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
2;;NULL;NULL;;ODBC based;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
135;S35: Task Export;NULL;15;;CSV-Datei zum Einlesen in SAP CATS;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
5;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
3;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
1348;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
13;;NULL;NULL;;;;1;2017-01-16 10:10:10';2017-01-16 10:10:10'
